Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ
Chu Tao th¶o M·o	0	7	2	\spr\item\equip\cap\obj-ma-cap07-3.spr	28	2	2	Lo¹i mò ®­îc tinh chÕ tõ nh÷ng loµi cá quý hiÕm. o. 		250	4	0	30	124	124	31																		36	19	32	90	33	50			38	0		
HuyÒn Sa DiÖn Tr¸o	0	7	2	\spr\item\equip\cap\obj-ma-cap08-1.spr	28	2	2	Lo¹i ¸o s¸t thñ th­êng mÆc. 		400	5	0	30	152	152	31																		36	26	32	110	33	60			38	0		
Thanh S¸t diÖn tr¸o	0	7	2	\spr\item\equip\cap\obj-ma-cap08-2.spr	28	2	2	Lo¹i ¸o s¸t thñ cao cÊp th­êng mÆc. 		600	6	0	30	170	170	31																		36	33	32	130	33	70			38	0		
Nh©n B× DiÖn Tr¸o	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	Nghe nãi sau khi giÕt ng­êi th× lét da lµm ¸o, o¸n khÝ cuån cuén. 		875	7	0	30	192	192	31																		36	40	32	150	33	80			38	0		
Ngò §éc ph¸t kÕt	0	7	2	\spr\item\equip\cap\obj-ma-cap09-1.spr	28	2	2	Lo¹i §éc d­îc chÕ tõ n¨m loµi r¾n ®éc. 		1200	8	0	30	220	220	31																		36	46	32	170	33	90			38	0		
B¸ch §éc ph¸t kÕt	0	7	2	\spr\item\equip\cap\obj-ma-cap09-2.spr	28	2	2	Lo¹i §éc d­îc chÕ tõ 100 lo¹i hoa cã ®éc. 		1600	9	0	30	248	248	31																		36	53	32	190	33	100			38	0		
Tu La Ph¸t kÕt	0	7	2	\spr\item\equip\cap\obj-ma-cap09-3.spr	28	2	2	Lµ mét dÞ vËt trªn thÕ gian, s¸t khÝ táa ra ngïn ngôt. 		2000	10	0	30	276	276	31																		36	60	32	210	33	110			38	0		
Nho C©n	0	7	3	\spr\item\equip\cap\obj-ma-cap10-1.spr	28	2	2	Lo¹i kh¨n c¸c tó tµi th­êng quÊn, ®i ®©u còng thÊy. 		30	1	0	30	40	40	31																		36	1	32	30	33	30			38	0		
TiÕn Kiªn Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap10-1.spr	28	2	2	Lo¹i kh¨n c¸c tó tµi th­êng ®éi. 		80	2	0	30	70	70	31																		36	7	32	45	33	45			38	0		
ViÖt Mü Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap10-2.spr	28	2	2	Lo¹i kh¨n mò c¸c v¨n nh©n th­êng ®éi. 		188	3	0	30	100	100	31																		36	13	32	60	33	60			38	0		
Phi YÕn Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap10-3.spr	28	2	2	Lo¹i mò rÊt ®Ñp, danh sÜ ­a dïng. 		300	4	0	30	130	130	31																		36	19	32	75	33	75			38	0		
§iªu ThiÒn Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap11-1.spr	28	2	2	Lo¹i mò rÊt ®Ñp, danh sÜ ­a dïng. 		450	5	0	30	160	160	31																		36	26	32	90	33	90			38	0		
Lang Tµ Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap11-2.spr	28	2	2	Tinh chÕ b»ng thÐp, ®éi vµo tinh lùc t¨ng lªn rÊt nhanh. 		625	6	0	30	190	190	31																		36	33	32	105	33	105			38	0		
Anh L¹c Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap11-3.spr	28	2	2	Lo¹i mò rÊt ®Ñp, ®­îc kh¶m b»ng cá Anh L¹c, c¸c v¨n nh©n Nho sÜ th­êng thÝch ®éi		925	7	0	30	220	220	31																		36	40	32	120	33	120			38	0		
Tö Kim ph¸t Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap12-1.spr	28	2	2	Dïng nh÷ng lo¹i b¹ch kim vµ b¶o th¹ch quý hiÕm chÕ thµnh, cù kú cao quý. 		1250	8	0	30	250	250	31																		36	46	32	135	33	135			38	0		
ThÊt B¶o ph¸t Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap12-2.spr	28	2	2	Lµ lo¹i mò cao quý, th­êng do Hoµng Th­îng ban tÆng. 		1500	9	0	30	280	280	31																		36	53	32	150	33	150			38	0		
Th«ng Thiªn Ph¸t Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap12-3.spr	28	2	2	Lµ lo¹i mò cao quý, chØ cã Hoµng Th­îng míi ®­îc ®éi		1875	10	0	30	310	310	31																		36	60	32	165	33	165			38	0		
§ång Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap13-1.spr	29	2	2	Lo¹i kh«i lµm b»ng tinh ®ång th­îng ®¼ng. 		93	1	0	30	45	45	31																		36	1	32	35	33	0			38	0		
B¸n DiÖn Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap13-1.spr	29	2	2	Lo¹i kh«i che mét nöa mÆt phÝa tr­íc, cã thÓ chèng tªn. 		153	2	0	30	75	75	31																		36	7	32	60	33	0			38	0		
Song DiÖn Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap13-2.spr	29	2	2	Lo¹i kh«i che kÝn ®Çu, chØ chõa hai lç m¾t ®Ó nh×n. 		280	3	0	30	105	105	31																		36	13	32	85	33	0			38	0		
ThiÕt Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap13-3.spr	29	2	2	Lo¹i kh«i lµm b»ng tinh thÐp th­îng ®¼ng. 		450	4	0	30	135	135	31																		36	19	32	110	33	0			38	0		
Tinh §ång §Çu Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap14-1.spr	29	2	2	Lo¹i kh«i lµm b»ng tinh ®ång th­îng ®¼ng. 		675	5	0	30	165	165	31																		36	26	32	135	33	0			38	0		
Cang kh«i 	0	7	4	\spr\item\equip\cap\obj-ma-cap14-2.spr	29	2	2	Lo¹i kh«i b»ng thÐp nguyªn chÊt. 		925	6	0	30	195	195	31																		36	33	32	160	33	0			38	0		
Ng©n Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap14-3.spr	29	2	2	Lo¹i kh«i b»ng b¹c nguyªn chÊt. 		1275	7	0	30	225	225	31																		36	40	32	185	33	0			38	0		
Tinh Cang Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap15-1.spr	29	2	2	Lo¹i kh«i b»ng thÐp nguyªn chÊt.. 		1625	8	0	30	255	255	31																		36	46	32	210	33	0			38	0		
Kim Kh«i 	0	7	4	\spr\item\equip\cap\obj-ma-cap15-2.spr	31	2	2	Lo¹i kh«i gi¸p b»ng vµng, kh¶ n¨ng phßng ngù rÊt cao. 		2025	9	0	30	285	285	31																		36	53	32	235	33	0			38	0		
YÓm NhËt kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap15-3.spr	31	2	2	Lo¹i kh«i gi¸p b»ng vµng, kh¶ n¨ng phßng ngù rÊt cao. 		2500	10	0	30	315	315	31																		36	60	32	260	33	0			38	0		
Ph¸ Bè C©n	0	7	5	\spr\item\equip\cap\obj-ma-cap16-1.spr	28	2	2	Lo¹i kh¨n nh÷ng ng­êi an mµy th­êng quÊn trªn ®Çu, rÊt r¸ch n¸t. 		15	1	0	30	25	25	31																		36	1	32	30	33	20			38	0		
B¸t Ph­¬ng C©n	0	7	5	\spr\item\equip\cap\obj-ma-cap16-1.spr	28	2	2	Lo¹i kh¨n nh÷ng ng­êi an mµy th­êng quÊn trªn ®Çu, h×nh nh­ còng kh«ng cã c«ng dông g×. 		40	2	0	30	50	50	31																		36	7	32	45	33	25			38	0		
Tiªu Diªu C©n	0	7	5	\spr\item\equip\cap\obj-ma-cap16-2.spr	28	2	2	Lo¹i kh¨n nh÷ng ng­êi an mµy th­êng quÊn trªn ®Çu. 		93	3	0	30	75	75	31																		36	13	32	60	33	30			38	0		
Lé Thiªn C©n	0	7	5	\spr\item\equip\cap\obj-ma-cap16-3.spr	28	2	2	Lo¹i kh¨n nh÷ng ng­êi ¨n mµy th­êng quÊn trªn ®Çu, rÊt th«ng dông		150	4	0	30	100	100	31																		36	19	32	75	33	35			38	0		
B¹ch Thùc Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap17-1.spr	28	2	2	Vßng ®eo trªn cæ, t­îng tr­ng cho ®¼ng cÊp C¸i Bang. 		225	5	0	30	125	125	31																		36	26	32	90	33	40			38	0		
L­u Ly Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap17-2.spr	28	2	2	Lo¹i vßng ®eo cã kh¶m nhiÒu ngäc L­u Ly. 		300	6	0	30	150	150	31																		36	33	32	105	33	45			38	0		
Song TÇng L­u Ly Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap17-3.spr	28	2	2	Lo¹i vßng ®eo cã kh¶m nhiÒu ngäc L­u Ly, cã hai líp. 		450	7	0	30	175	175	31																		36	40	32	120	33	50			38	0		
TÝn nhía Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap18-1.spr	28	2	2	Lo¹i vßng ®eo thÓ hiÖn tinh thÇn cña C¸i Bang. 		625	8	0	30	200	200	31																		36	46	32	135	33	55			38	0		
T×nh nhía Hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap18-2.spr	28	2	2	Lo¹i vßng ®eo thÓ hiÖn tinh thÇn cña C¸i Bang. 		750	9	0	30	225	225	31																		36	53	32	150	33	60			38	0		
TrÝch Tinh hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap18-3.spr	28	2	2	Lo¹i vßng ®eo cã kh¶m nhiÒu ngäc L­u Ly, b¶o vËt cña C¸i Bang. 		925	10	0	30	250	250	31																		36	60	32	165	33	65			38	0		
Bè C©n	0	7	6	\spr\item\equip\cap\obj-ma-cap19-1.spr	28	2	2	Lo¹i kh¨n th­êng ®éi cña nh÷ng ng­êi b×nh d©n. 		30	1	0	30	20	20	31																		36	1	32	0	33	20			38	0		
B×nh §Ønh C©n	0	7	6	\spr\item\equip\cap\obj-ma-cap19-1.spr	28	2	2	Lo¹i kh¨n th­êng ®éi cña nh÷ng ng­êi b×nh d©n nh­ng ®¼ng cÊp cao h¬n mét chót so víi Bè C©n. 		80	2	0	30	40	40	31																		36	7	32	0	33	25			38	0		
Bè Nhóng C©n	0	7	6	\spr\item\equip\cap\obj-ma-cap19-1.spr	28	2	2	Lo¹i kh¨n cña nh÷ng ng­êi b×nh d©n, t­¬ng ®èi Êm. 		188	3	0	30	60	60	31																		36	13	32	0	33	30			38	0		
Nh¹n Vò C©n	0	7	6	\spr\item\equip\cap\obj-ma-cap19-1.spr	28	2	2	Nghe nãi dïng l«ng chim nh¹n dÖt thµnh, thùc tÕ chØ lµ lµm tõ nh÷ng l«ng chim b×nh th­êng mµ th«i. 		300	4	0	30	80	80	31																		36	19	32	0	33	35			38	0		
Y T¬ Ph¸t §¸i	0	7	6	\spr\item\equip\cap\obj-ma-cap20-1.spr	28	2	2	Dïng lo¹i t¬ tinh phÈm dÖt thµnh, kiÓu d¸ng rÊt ®Ñp. 		450	5	0	30	100	100	31																		36	26	32	0	33	40			38	0		
Kim T¬ Qu¸n	0	7	6	\spr\item\equip\cap\obj-ma-cap20-2.spr	28	2	2	§­îc lµm b»ng t¬, tÝnh b¶o vÖ rÊt tèt.		625	6	0	30	120	120	31																		36	33	32	0	33	45			38	0		
Chu Khëi Qu¸n	0	7	6	\spr\item\equip\cap\obj-ma-cap20-3.spr	28	2	2	Lo¹i mò dÖt b»ng t¬ th­îng phÈm, kiÓu d¸ng rÊt ®Ñp. 		925	7	0	30	140	140	31																		36	40	32	0	33	50			38	0		
Doanh Gi¸c M·o	0	7	6	\spr\item\equip\cap\obj-ma-cap21-1.spr	28	2	2	Lo¹i mò dÖt b»ng t¬ th­îng phÈm cã ®iÓm thªm nhiÒu h¹t ngäc nhá, gi¸ rÊt ®¾t. 		1250	8	0	30	160	160	31																		36	46	32	0	33	55			38	0		
Tµm T¬ M·o	0	7	6	\spr\item\equip\cap\obj-ma-cap21-2.spr	28	2	2	Lo¹i mò dÖt b»ng t¬ th­îng phÈm, phong c¸ch quý ph¸i. 		1500	9	0	30	180	180	31																		36	53	32	0	33	60			38	0		
¤ Tµm M·o	0	7	6	\spr\item\equip\cap\obj-ma-cap21-3.spr	28	2	2	Lo¹i mò dÖt b»ng t¬ ¤ TÇm th­îng phÈm, phong c¸ch quý ph¸i. 		1875	10	0	30	200	200	31																		36	60	32	0	33	65			38	0		
ThÝch Ni M·o	0	7	7	\spr\item\equip\cap\obj-fm-cap01-1.spr	28	2	2	Lo¹i mò c¸c ni c« th­êng ®éi. 		25	1	0	30	25	25	31																		36	1	32	30					38	1		
ThÝch Ni M·o	0	7	7	\spr\item\equip\cap\obj-fm-cap01-1.spr	28	2	2	Lo¹i mò c¸c ni c« th­êng ®éi. 		63	2	0	30	50	50	31																		36	7	32	50					38	1		
ThÝch Ni M·o	0	7	7	\spr\item\equip\cap\obj-fm-cap01-1.spr	28	2	2	Lo¹i mò c¸c ni c« th­êng ®éi. 		125	3	0	30	75	75	31																		36	13	32	70					38	1		
ThÝch Ni M·o	0	7	7	\spr\item\equip\cap\obj-fm-cap01-1.spr	28	2	2	Lo¹i mò c¸c ni c« th­êng ®éi. 		200	4	0	30	100	100	31																		36	19	32	90					38	1		
Thanh M·o	0	7	7	\spr\item\equip\cap\obj-fm-cap02-1.spr	28	2	2	Lo¹i mò mµu xanh cña PhËt gia. 		300	5	0	30	125	125	31																		36	26	32	110					38	1		
Thanh Anh M·o	0	7	7	\spr\item\equip\cap\obj-fm-cap02-2.spr	28	2	2	Lo¹i mò mµu xanh cña PhËt gia, cã tua rò xuèng. 		450	6	0	30	150	150	31																		36	33	32	130					38	1		
Thiªn Thanh M·o	0	7	7	\spr\item\equip\cap\obj-fm-cap02-3.spr	28	2	2	Lo¹i mò mµu xanh cña PhËt gia, thanh tho¸t cao quý. 		625	7	0	30	175	175	31																		36	40	32	150					38	1		
XÝch ¶nh ph¸t Qu¸n	0	7	7	\spr\item\equip\cap\obj-fm-cap03-1.spr	28	2	2	Lo¹i mò cao cÊp cña PhËt gia, dïng trong nh÷ng lóc nghiªm trang. 		800	8	0	30	200	200	31																		36	46	32	170					38	1		
V« T­íng Ph¸p Qu¸n	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	Lo¹i mò cao cÊp cña PhËt gia, dïng trong nh÷ng lóc nghiªm trang. 		1000	9	0	30	225	225	31																		36	53	32	190					38	1		
Quan ¢m Ph¸t Qu¸n	0	7	7	\spr\item\equip\cap\obj-fm-cap03-3.spr	28	2	2	Lo¹i mò cao cÊp cña PhËt gia. 		1250	10	0	30	250	250	31																		36	60	32	210					38	1		
Ng©n Thoa	0	7	8	\spr\item\equip\cap\obj-fm-cap04-1.spr	30	2	2	Lo¹i tr©m cµi tãc b»ng b¹c. 		25	1	0	30	20	20	31																		36	1	32	0	33	20			38	1		
Ng©n Liªm Thoa	0	7	8	\spr\item\equip\cap\obj-fm-cap04-1.spr	30	2	2	Lo¹i tr©m cµi tãc b»ng b¹c. 		50	2	0	30	40	40	31																		36	7	32	0	33	25			38	1		
Ng©n LiÖm Thoa	0	7	8	\spr\item\equip\cap\obj-fm-cap04-2.spr	30	2	2	Lo¹i tr©m cµi tãc b»ng b¹c. 		100	3	0	30	60	60	31																		36	13	32	0	33	30			38	1		
Ng©n Hoµn Thoa	0	7	8	\spr\item\equip\cap\obj-fm-cap04-3.spr	30	2	2	Lo¹i tr©m cµi tãc b»ng b¹c. 		175	4	0	30	80	80	31																		36	19	32	0	33	35			38	1		
Kim Thoa	0	7	8	\spr\item\equip\cap\obj-fm-cap05-1.spr	30	2	2	Lo¹i tr©m cµi tãc b»ng b¹c. 		250	5	0	30	100	100	31																		36	26	32	0	33	40			38	1		
Kim Hoµn Thoa	0	7	8	\spr\item\equip\cap\obj-fm-cap05-2.spr	30	2	2	Lo¹i tr©m cµi tãc b»ng b¹c, d¸ng h¬i trßn. 		375	6	0	30	120	120	31																		36	33	32	0	33	45			38	1		
Kim Bé Dao	0	7	8	\spr\item\equip\cap\obj-fm-cap05-3.spr	30	2	2	Lo¹i tr©m cµi tãc b»ng vµng. 		500	7	0	30	140	140	31																		36	40	32	0	33	50			38	1		
PhØ Thóy Thoa	0	7	8	\spr\item\equip\cap\obj-fm-cap06-1.spr	30	2	2	Lo¹i tr©m cµi tãc b»ng lôa, cã ®iÓm vµng. 		625	8	0	30	160	160	31																		36	46	32	0	33	55			38	1		
Th¸i cùc Qu¸n	0	7	8	\spr\item\equip\cap\obj-fm-cap06-2.spr	30	2	2	Lµ Mét lo¹i mò cña c¸c ®¹o sÜ th­êng ®éi, cã thÓ trõ yªu diÖt qu¸i. 		800	9	0	30	180	180	31																		36	53	32	0	33	60			38	1		
¢m D­¬ng V« Cùc qu¸n	0	7	8	\spr\item\equip\cap\obj-fm-cap06-3.spr	30	2	2	B¶o vËt cña c¸c ®¹o gia. 		1000	10	0	30	200	200	31																		36	60	32	0	33	65			38	1		
B×Trô 	0	7	9	\spr\item\equip\cap\obj-fm-cap07-1.spr	28	2	2	Lo¹i mò b¶o hé ®­îc tinh chÕ tõ nh÷ng lo¹i da thó, cã kh¶ n¨ng tÊn c«ng vµ phßng ngù rÊt tèt. 		25	1	0	30	25	25	31																		36	1	32	30	33	20			38	1		
§ång Trô 	0	7	9	\spr\item\equip\cap\obj-fm-cap07-1.spr	28	2	2	Lo¹i gi¸p trô b»ng ®ång, c¸c sÜ binh th­êng mÆc. 		75	2	0	30	50	50	31																		36	7	32	45	33	25			38	1		
Tinh §ång Trô 	0	7	9	\spr\item\equip\cap\obj-fm-cap07-2.spr	28	2	2	Lo¹i kh«i ®­îc tinh chÕ b»ng ®ång. 		150	3	0	30	75	75	31																		36	13	32	60	33	30			38	1		
XÝch §ån B× M·o	0	7	9	\spr\item\equip\cap\obj-fm-cap07-3.spr	28	2	2	Lo¹i mò b¶o hé ®­îc lµm tõ da s­ tö biÓn, tÝnh phßng ngù tÊt cao. 		250	4	0	30	100	100	31																		36	19	32	75	33	35			38	1		
