EqName	SwordShieldWFreeStand	ShieldSwordWFreeStand	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	SwordShieldWStand	ShieldSwordWStand	GuqinWStand1	GuqinWStand2	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	SwordShieldWWalk	ShieldSwordWWalk	GuqinWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	SwordShieldWRun	ShieldSwordWRun	GuqinWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	SwordShieldWWound	ShieldSwordWWound	GuqinWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	SwordShieldWDie	ShieldSwordWDie	GuqinWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	SwordShieldWChop	SwordShieldWCut	ShieldSwordWChop	ShieldSwordWCut	GuqinWPuncture	GuqinWCut	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SwordShieldWMagic	ShieldSwordWMagic	GuqinWMagic	SitDown	Jump	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2	ChangeColor
<<Î´·­Òë>>	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
<<Î´·­Òë>>	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
<<Î´·­Òë>>	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
<<Î´·­Òë>>	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
<<Î´·­Òë>>	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
<<Î´·­Òë>>	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
<<Î´·­Òë>>	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
<<Î´·­Òë>>	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
<<Î´·­Òë>>	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1		88,8,1					120,8,1	120,8,1	120,8,1		120,8,1				88,8,1	88,8,1	88,8,1		88,8,1				72,8,1	64,8,1		96,8,1				96,8,1	88,8,1		144,8,1				144,8,1	128,8,1	112,8,1			128,8,1	96,8,1							128,8,1	96,8,1	96,8,1		128,8,1				72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
<<Î´·­Òë>>	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1		88,8,1					120,8,1	120,8,1	120,8,1		120,8,1				88,8,1	88,8,1	88,8,1		88,8,1				72,8,1	64,8,1		96,8,1				96,8,1	88,8,1		144,8,1				144,8,1	128,8,1	112,8,1			128,8,1	96,8,1							128,8,1	96,8,1	96,8,1		128,8,1				72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Ë«²øÊÖ-½ð	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Ë«²øÊÖ-Ë®	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Ë«²øÊÖ-Ä¾	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
Ë«²øÊÖ-»ð	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
³¤¹÷-½ð¹÷	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
³¤¹÷-»ð¹÷	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
³¤Ç¹-½ðÇ¹	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
³¤Ç¹-»ðÇ¹	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
µ¥ÊÖµ¶-½ð	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
µ¥ÊÖµ¶-Ä¾	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
µ¥ÊÖµ¶-Ë®	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1							120,8,1	120,8,1	120,8,1						88,8,1	88,8,1	88,8,1						72,8,1	64,8,1						96,8,1	88,8,1						144,8,1	128,8,1	112,8,1											128,8,1	96,8,1	96,8,1						72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1	
