EqName	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	FreeWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	MeleeWDie	DoubleWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	JumpFly	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2
Di÷u D≠¨ng H∏m Thi™n Th«n ChÔy																																														
Di÷u D≠¨ng K’ Nghi÷p Th≠¨ng																																														
Di÷u D≠¨ng Ng˘ Long B∂o ßao																																														
Di÷u D≠¨ng V´ Gian B∂o Ki’m																																														
Di÷u D≠¨ng V´ Ma Tri“n ThÒ																																														
Di÷u D≠¨ng T™ Hoµng B∂o ßao																																														
Di÷u D≠¨ng B›ch H∂i Uy™n ¶¨ng ßao																																														
Di÷u D≠¨ng U Lung Tri“n ThÒ																																														
Di÷u D≠¨ng Minh ∂o Huy’t NhÀn																																														
Di÷u D≠¨ng B®ng Hµn Phi ßao																																														
Di÷u D≠¨ng Thi™n Quang TÙ Ti‘n																																														
Di÷u D≠¨ng S©m Hoang Phi Ti™u																																														
Di÷u D≠¨ng ßÂng Cıu Tri“n ThÒ																																														
Di÷u D≠¨ng ßﬁch Kh∏i Tr≠Óng																																														
Di÷u D≠¨ng Ma S∏t Th≠¨ng																																														
Di÷u D≠¨ng Ma Hoµng B∂o ßao																																														
Di÷u D≠¨ng L®ng Nhπc Th«n Ki’m																																														
Di÷u D≠¨ng CÀp Phong Th«n Ki’m																																														
Di÷u D≠¨ng S≠¨ng Tinh B∂o ßao																																														
Di÷u D≠¨ng L´i Khung Th«n Ki’m																																														
Di÷u D≠¨ng PhÔ V©n Ki’m																																														
Di÷u D≠¨ng Xung V©n Ki’m																																														
