◊∞±∏√˚≥∆	µ∂∂‹’æ¡¢1	∂‹µ∂’æ¡¢1	ø’ ÷’æ¡¢1	ø’ ÷’æ¡¢2	ø’ ÷’æ¡¢3	∂ÃŒ‰∆˜’æ¡¢	≥§Œ‰∆˜’æ¡¢	À´Œ‰∆˜’æ¡¢	µ∂∂‹Œ‰∆˜’æ¡¢	∂‹µ∂Œ‰∆˜’æ¡¢	«Ÿ’Ω∂∑’æ¡¢	«Ÿ∑«’Ω∂∑’æ¡¢	ø’ ÷◊ﬂ¬∑	∆’Õ®◊ﬂ¬∑	∂ÃŒ‰∆˜◊ﬂ¬∑	≥§Œ‰∆˜◊ﬂ¬∑	À´Œ‰∆˜◊ﬂ¬∑	µ∂∂‹Œ‰∆˜◊ﬂ¬∑	∂‹µ∂Œ‰∆˜◊ﬂ¬∑	«Ÿ◊ﬂ¬∑	ø’ ÷≈‹≤Ω	∆’Õ®≈‹≤Ω	∂ÃŒ‰∆˜≈‹≤Ω	≥§Œ‰∆˜≈‹≤Ω	À´Œ‰∆˜≈‹≤Ω	µ∂∂‹Œ‰∆˜≈‹≤Ω	∂‹µ∂Œ‰∆˜≈‹≤Ω	«ŸŒ‰∆˜≈‹≤Ω	ø’ ÷ ‹…À	∂ÃŒ‰∆˜ ‹…À	≥§Œ‰∆˜ ‹…À	À´Œ‰∆˜ ‹…À	µ∂∂‹Œ‰∆˜ ‹…À	∂‹µ∂Œ‰∆˜ ‹…À	«ŸŒ‰∆˜ ‹…À	ø’ ÷À¿Õˆ	∂ÃŒ‰∆˜À¿Õˆ	≥§Œ‰∆˜À¿Õˆ	À´Œ‰∆˜À¿Õˆ	µ∂∂‹Œ‰∆˜À¿Õˆ	∂‹µ∂Œ‰∆˜À¿Õˆ	«ŸŒ‰∆˜À¿Õˆ	ø’ ÷π•ª˜	∂ÃŒ‰∆˜¥Ã	∂ÃŒ‰∆˜ø≥	≥§Œ‰∆˜¥¡	≥§Œ‰∆˜≈¸	À´Œ‰∆˜ªÆ	À´Œ‰∆˜‘“	µ∂∂‹Œ‰∆˜ªÆ	µ∂∂‹Œ‰∆˜ø≥	∂‹µ∂Œ‰∆˜ªÆ	∂‹µ∂Œ‰∆˜ø≥	«ŸŒ‰∆˜π•ª˜1	«ŸŒ‰∆˜π•ª˜2	∞µ∆˜Õ∂÷¿	ø’ ÷ƒß∑®	∂ÃŒ‰∆˜ƒß∑®	≥§Œ‰∆˜ƒß∑®	À´Œ‰∆˜ƒß∑®	µ∂∂‹Œ‰∆˜ƒß∑®	∂‹µ∂Œ‰∆˜ƒß∑®	«ŸŒ‰∆˜ƒß∑®	¥Ú◊¯	Ã¯‘æ	∆Ô¬Ì’æ¡¢	∆Ô¬Ì◊ﬂ∂Ø	∆Ô¬Ì≈‹≤Ω	∆Ô¬Ìπ•ª˜≈¸	∆Ô¬Ìπ•ª˜¥Ã	∆Ô¬Ìƒß∑®	∆Ô¬Ì ‹…À	∆Ô¬ÌÀ¿Õˆ	∆Ô¬Ì’æ¡¢1	∆Ô¬Ì’æ¡¢2
Th©n th” 11	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	120,8,1	120,8,1	88,8,1	88,8,1	120,8,1	120,8,1	120,8,1	120,8,1	120,8,1	248,8,1	248,8,1	96,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	96,8,1	96,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	104,8,1	104,8,1	56,8,1	96,8,1	88,8,1	120,8,1	144,8,1	104,8,1	104,8,1	120,8,1	144,8,1	128,8,1	112,8,1	96,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	80,8,1	184,8,1	128,8,1	96,8,1	96,8,1	104,8,1	128,8,1	176,8,1	176,8,1	96,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Th©n th” 12	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	120,8,1	120,8,1	88,8,1	88,8,1	120,8,1	120,8,1	120,8,1	120,8,1	120,8,1	248,8,1	248,8,1	96,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	96,8,1	96,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	104,8,1	104,8,1	56,8,1	96,8,1	88,8,1	120,8,1	144,8,1	104,8,1	104,8,1	120,8,1	144,8,1	128,8,1	112,8,1	96,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	80,8,1	184,8,1	128,8,1	96,8,1	96,8,1	104,8,1	128,8,1	176,8,1	176,8,1	96,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Th©n th” 13	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	120,8,1	120,8,1	88,8,1	88,8,1	120,8,1	120,8,1	120,8,1	120,8,1	120,8,1	248,8,1	248,8,1	96,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	96,8,1	96,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	104,8,1	104,8,1	56,8,1	96,8,1	88,8,1	120,8,1	144,8,1	104,8,1	104,8,1	120,8,1	144,8,1	128,8,1	112,8,1	96,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	80,8,1	184,8,1	128,8,1	96,8,1	96,8,1	104,8,1	128,8,1	176,8,1	176,8,1	96,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Th©n th” 14	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	120,8,1	120,8,1	88,8,1	88,8,1	120,8,1	120,8,1	120,8,1	120,8,1	120,8,1	248,8,1	248,8,1	96,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	96,8,1	96,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	104,8,1	104,8,1	56,8,1	96,8,1	88,8,1	120,8,1	144,8,1	104,8,1	104,8,1	120,8,1	144,8,1	128,8,1	112,8,1	96,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	80,8,1	184,8,1	128,8,1	96,8,1	96,8,1	104,8,1	128,8,1	176,8,1	176,8,1	96,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Th©n th” 15	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	120,8,1	120,8,1	88,8,1	88,8,1	120,8,1	120,8,1	120,8,1	120,8,1	120,8,1	248,8,1	248,8,1	96,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	96,8,1	96,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	104,8,1	104,8,1	56,8,1	96,8,1	88,8,1	120,8,1	144,8,1	104,8,1	104,8,1	120,8,1	144,8,1	128,8,1	112,8,1	96,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	80,8,1	184,8,1	128,8,1	96,8,1	96,8,1	104,8,1	128,8,1	176,8,1	176,8,1	96,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Th©n th” 16	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	120,8,1	120,8,1	88,8,1	88,8,1	120,8,1	120,8,1	120,8,1	120,8,1	120,8,1	248,8,1	248,8,1	96,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	96,8,1	96,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	104,8,1	104,8,1	56,8,1	96,8,1	88,8,1	120,8,1	144,8,1	104,8,1	104,8,1	120,8,1	144,8,1	128,8,1	112,8,1	96,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	80,8,1	184,8,1	128,8,1	96,8,1	96,8,1	104,8,1	128,8,1	176,8,1	176,8,1	96,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Th©n th” 17	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	120,8,1	120,8,1	88,8,1	88,8,1	120,8,1	120,8,1	120,8,1	120,8,1	120,8,1	248,8,1	248,8,1	96,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	96,8,1	96,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	104,8,1	104,8,1	56,8,1	96,8,1	88,8,1	120,8,1	144,8,1	104,8,1	104,8,1	120,8,1	144,8,1	128,8,1	112,8,1	96,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	80,8,1	184,8,1	128,8,1	96,8,1	96,8,1	104,8,1	128,8,1	176,8,1	176,8,1	96,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Th©n th” 18	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	120,8,1	120,8,1	88,8,1	88,8,1	120,8,1	120,8,1	120,8,1	120,8,1	120,8,1	248,8,1	248,8,1	96,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	96,8,1	96,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	104,8,1	104,8,1	56,8,1	96,8,1	88,8,1	120,8,1	144,8,1	104,8,1	104,8,1	120,8,1	144,8,1	128,8,1	112,8,1	96,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	80,8,1	184,8,1	128,8,1	96,8,1	96,8,1	104,8,1	128,8,1	176,8,1	176,8,1	96,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Th©n th” 19	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	120,8,1	120,8,1	88,8,1	88,8,1	120,8,1	120,8,1	120,8,1	120,8,1	120,8,1	248,8,1	248,8,1	96,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	96,8,1	96,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	104,8,1	104,8,1	56,8,1	96,8,1	88,8,1	120,8,1	144,8,1	104,8,1	104,8,1	120,8,1	144,8,1	128,8,1	112,8,1	96,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	80,8,1	184,8,1	128,8,1	96,8,1	96,8,1	104,8,1	128,8,1	176,8,1	176,8,1	96,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Th©n th” 20	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	120,8,1	120,8,1	88,8,1	88,8,1	120,8,1	120,8,1	120,8,1	120,8,1	120,8,1	248,8,1	248,8,1	96,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	96,8,1	96,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	104,8,1	104,8,1	56,8,1	96,8,1	88,8,1	120,8,1	144,8,1	104,8,1	104,8,1	120,8,1	144,8,1	128,8,1	112,8,1	96,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	80,8,1	184,8,1	128,8,1	96,8,1	96,8,1	104,8,1	128,8,1	176,8,1	176,8,1	96,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Th©n th” 21	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	120,8,1	120,8,1	88,8,1	88,8,1	120,8,1	120,8,1	120,8,1	120,8,1	120,8,1	248,8,1	248,8,1	96,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	96,8,1	96,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	104,8,1	104,8,1	56,8,1	96,8,1	88,8,1	120,8,1	144,8,1	104,8,1	104,8,1	120,8,1	144,8,1	128,8,1	112,8,1	96,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	80,8,1	184,8,1	128,8,1	96,8,1	96,8,1	104,8,1	128,8,1	176,8,1	176,8,1	96,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Th©n th” 22	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	120,8,1	120,8,1	88,8,1	88,8,1	120,8,1	120,8,1	120,8,1	120,8,1	120,8,1	248,8,1	248,8,1	96,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	96,8,1	96,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	104,8,1	104,8,1	56,8,1	96,8,1	88,8,1	120,8,1	144,8,1	104,8,1	104,8,1	120,8,1	144,8,1	128,8,1	112,8,1	96,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	80,8,1	184,8,1	128,8,1	96,8,1	96,8,1	104,8,1	128,8,1	176,8,1	176,8,1	96,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
Th©n th” 23	120,8,1	120,8,1	120,8,1	120,8,1	88,8,1	88,8,1	88,8,1	88,8,1	120,8,1	120,8,1	88,8,1	88,8,1	120,8,1	120,8,1	120,8,1	120,8,1	120,8,1	248,8,1	248,8,1	96,8,1	88,8,1	88,8,1	88,8,1	88,8,1	88,8,1	96,8,1	96,8,1	88,8,1	72,8,1	64,8,1	56,8,1	96,8,1	104,8,1	104,8,1	56,8,1	96,8,1	88,8,1	120,8,1	144,8,1	104,8,1	104,8,1	120,8,1	144,8,1	128,8,1	112,8,1	96,8,1	96,8,1	128,8,1	96,8,1	232,8,1	192,8,1	232,8,1	192,8,1	80,8,1	184,8,1	128,8,1	96,8,1	96,8,1	104,8,1	128,8,1	176,8,1	176,8,1	96,8,1	72,8,1	160,8,1	112,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1	112,8,1	112,8,1
