EqName	FreeStand1	FreeStand2	FreeStand3	MeleeWStand	RangeWStand	DoubleWStand	FreeWalk	NormalWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	NormalRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	DartThrow	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	Jump	RideStand	RideWalk	RideRun	RideCut	RidePuncture	RideMagic	RideWound	RideDie	RideStand1	RideStand2
Ngua ress 28																																							..\man\MA_HT_038_RD01.spr	..\man\MA_HT_038_HW01.spr	..\man\MA_HT_038_HR01.spr	..\man\MA_HT_038_HA01.spr	..\man\MA_HT_038_HA02.spr	..\man\MA_HT_038_HM01.spr	..\man\MA_HT_038_HI01.spr	..\man\MA_HT_038_HD01.spr	..\man\MA_HT_038_RD01.spr	..\man\MA_HT_038_RD01.spr
Ngua ress 29																																							..\man\MA_HT_039_RD01.spr	..\man\MA_HT_039_HW01.spr	..\man\MA_HT_039_HR01.spr	..\man\MA_HT_039_HA01.spr	..\man\MA_HT_039_HA02.spr	..\man\MA_HT_039_HM01.spr	..\man\MA_HT_039_HI01.spr	..\man\MA_HT_039_HD01.spr	..\man\MA_HT_039_RD01.spr	..\man\MA_HT_039_RD01.spr
Ngua ress 30																																							..\man\MA_HT_040_RD01.spr	..\man\MA_HT_040_HW01.spr	..\man\MA_HT_040_HR01.spr	..\man\MA_HT_040_HA01.spr	..\man\MA_HT_040_HA02.spr	..\man\MA_HT_040_HM01.spr	..\man\MA_HT_040_HI01.spr	..\man\MA_HT_040_HD01.spr	..\man\MA_HT_040_RD01.spr	..\man\MA_HT_040_RD01.spr
Ngua ress 31																																							..\man\MA_HT_041_RD01.spr	..\man\MA_HT_041_HW01.spr	..\man\MA_HT_041_HR01.spr	..\man\MA_HT_041_HA01.spr	..\man\MA_HT_041_HA02.spr	..\man\MA_HT_041_HM01.spr	..\man\MA_HT_041_HI01.spr	..\man\MA_HT_041_HD01.spr	..\man\MA_HT_041_RD01.spr	..\man\MA_HT_041_RD01.spr
Ngua ress 32																																							..\man\MA_HT_042_RD01.spr	..\man\MA_HT_042_HW01.spr	..\man\MA_HT_042_HR01.spr	..\man\MA_HT_042_HA01.spr	..\man\MA_HT_042_HA02.spr	..\man\MA_HT_042_HM01.spr	..\man\MA_HT_042_HI01.spr	..\man\MA_HT_042_HD01.spr	..\man\MA_HT_042_RD01.spr	..\man\MA_HT_042_RD01.spr
TBT  ress 33																																							..\man\MA_HT_043_RD01.spr	..\man\MA_HT_043_HW01.spr	..\man\MA_HT_043_HR01.spr	..\man\MA_HT_043_HA01.spr	..\man\MA_HT_043_HA02.spr	..\man\MA_HT_043_HM01.spr	..\man\MA_HT_043_HI01.spr	..\man\MA_HT_043_HD01.spr	..\man\MA_HT_043_RD01.spr	..\man\MA_HT_043_RD01.spr
Ngua ress 34																																							..\man\MA_HT_044_RD01.spr	..\man\MA_HT_044_HW01.spr	..\man\MA_HT_044_HR01.spr	..\man\MA_HT_044_HA01.spr	..\man\MA_HT_044_HA02.spr	..\man\MA_HT_044_HM01.spr	..\man\MA_HT_044_HI01.spr	..\man\MA_HT_044_HD01.spr	..\man\MA_HT_044_RD01.spr	..\man\MA_HT_044_RD01.spr
Ngua ress 35																																							..\man\MA_HT_045_RD01.spr	..\man\MA_HT_045_HW01.spr	..\man\MA_HT_045_HR01.spr	..\man\MA_HT_045_HA01.spr	..\man\MA_HT_045_HA02.spr	..\man\MA_HT_045_HM01.spr	..\man\MA_HT_045_HI01.spr	..\man\MA_HT_045_HD01.spr	..\man\MA_HT_045_RD01.spr	..\man\MA_HT_045_RD01.spr
HMao ress 36																																							..\man\horse01_ht_rs.spr	..\man\horse01_ht_rw.spr	..\man\horse01_ht_rr.spr	..\man\horse01_ht_ra01.spr	..\man\horse01_ht_ra02.spr	..\man\horse01_ht_rm.spr	..\man\horse01_ht_rb.spr	..\man\horse01_ht_rd.spr	..\man\horse01_ht_rs.spr	..\man\horse01_ht_rs.spr
KHS  ress 37																																							..\man\horse02_ht_rs.spr	..\man\horse02_ht_rw.spr	..\man\horse02_ht_rr.spr	..\man\horse02_ht_ra01.spr	..\man\horse02_ht_ra02.spr	..\man\horse02_ht_rm.spr	..\man\horse02_ht_rb.spr	..\man\horse02_ht_rd.spr	..\man\horse02_ht_rs.spr	..\man\horse02_ht_rs.spr
HMHG ress 38																																							..\man\horse03_ht_rs.spr	..\man\horse03_ht_rw.spr	..\man\horse03_ht_rr.spr	..\man\horse03_ht_ra01.spr	..\man\horse03_ht_ra02.spr	..\man\horse03_ht_rm.spr	..\man\horse03_ht_rb.spr	..\man\horse03_ht_rd.spr	..\man\horse03_ht_rs.spr	..\man\horse03_ht_rs.spr
HHTN ress 39																																							..\man\horse04_ht_rs.spr	..\man\horse04_ht_rw.spr	..\man\horse04_ht_rr.spr	..\man\horse04_ht_ra01.spr	..\man\horse04_ht_ra02.spr	..\man\horse04_ht_rm.spr	..\man\horse04_ht_rb.spr	..\man\horse04_ht_rd.spr	..\man\horse04_ht_rs.spr	..\man\horse04_ht_rs.spr
BMCC ress 40																																							..\man\horse05_ht_rs.spr	..\man\horse05_ht_rw.spr	..\man\horse05_ht_rr.spr	..\man\horse05_ht_ra01.spr	..\man\horse05_ht_ra02.spr	..\man\horse05_ht_rm.spr	..\man\horse05_ht_rb.spr	..\man\horse05_ht_rd.spr	..\man\horse05_ht_rs.spr	..\man\horse05_ht_rs.spr
HMCC ress 41																																							..\man\horse06_ht_rs.spr	..\man\horse06_ht_rw.spr	..\man\horse06_ht_rr.spr	..\man\horse06_ht_ra01.spr	..\man\horse06_ht_ra02.spr	..\man\horse06_ht_rm.spr	..\man\horse06_ht_rb.spr	..\man\horse06_ht_rd.spr	..\man\horse06_ht_rs.spr	..\man\horse06_ht_rs.spr
HHT  ress 42																																							..\man\horse07_ht_rs.spr	..\man\horse07_ht_rw.spr	..\man\horse07_ht_rr.spr	..\man\horse07_ht_ra01.spr	..\man\horse07_ht_ra02.spr	..\man\horse07_ht_rm.spr	..\man\horse07_ht_rb.spr	..\man\horse07_ht_rd.spr	..\man\horse07_ht_rs.spr	..\man\horse07_ht_rs.spr
BHL  ress 43																																							..\man\horse08_ht_rs.spr	..\man\horse08_ht_rw.spr	..\man\horse08_ht_rr.spr	..\man\horse08_ht_ra01.spr	..\man\horse08_ht_ra02.spr	..\man\horse08_ht_rm.spr	..\man\horse08_ht_rb.spr	..\man\horse08_ht_rd.spr	..\man\horse08_ht_rs.spr	..\man\horse08_ht_rs.spr
KMao ress 44																																							..\man\MA_HT_KIMMAO_RD01.spr	..\man\MA_HT_KIMMAO_HW01.spr	..\man\MA_HT_KIMMAO_HR01.spr	..\man\MA_HT_KIMMAO_HA01.spr	..\man\MA_HT_KIMMAO_HA02.spr	..\man\MA_HT_KIMMAO_HM01.spr	..\man\MA_HT_KIMMAO_HI01.spr	..\man\MA_HT_KIMMAO_HD01.spr	..\man\MA_HT_KIMMAO_RD01.spr	..\man\MA_HT_KIMMAO_RD01.spr
PYM  ress 45																																							..\man\MA_HT_PHIYENMA_RD01.spr	..\man\MA_HT_PHIYENMA_HW01.spr	..\man\MA_HT_PHIYENMA_HR01.spr	..\man\MA_HT_PHIYENMA_HA01.spr	..\man\MA_HT_PHIYENMA_HA02.spr	..\man\MA_HT_PHIYENMA_HM01.spr	..\man\MA_HT_PHIYENMA_HI01.spr	..\man\MA_HT_PHIYENMA_HD01.spr	..\man\MA_HT_PHIYENMA_RD01.spr	..\man\MA_HT_PHIYENMA_RD01.spr
DE T ress 46																																							..\man\MA_HT_DETRANG_RD01.spr	..\man\MA_HT_DETRANG_HW01.spr	..\man\MA_HT_DETRANG_HR01.spr	..\man\MA_HT_DETRANG_HA01.spr	..\man\MA_HT_DETRANG_HA02.spr	..\man\MA_HT_DETRANG_HM01.spr	..\man\MA_HT_DETRANG_HI01.spr	..\man\MA_HT_DETRANG_HD01.spr	..\man\MA_HT_DETRANG_RD01.spr	..\man\MA_HT_DETRANG_RD01.spr
HMao ress 47																																							..\man\horse135_ht_rs.spr	..\man\horse135_ht_rw.spr	..\man\horse135_ht_rr.spr	..\man\horse135_ht_ra01.spr	..\man\horse135_ht_ra02.spr	..\man\horse135_ht_rm.spr	..\man\horse135_ht_rb.spr	..\man\horse135_ht_rd.spr	..\man\horse135_ht_rs.spr	..\man\horse135_ht_rs.spr
HMao ress 48																																							..\man\horse138_ht_rs.spr	..\man\horse138_ht_rw.spr	..\man\horse138_ht_rr.spr	..\man\horse138_ht_ra01.spr	..\man\horse138_ht_ra02.spr	..\man\horse138_ht_rm.spr	..\man\horse138_ht_rb.spr	..\man\horse138_ht_rd.spr	..\man\horse138_ht_rs.spr	..\man\horse138_ht_rs.spr
HMao ress 49																																							..\man\horse143_ht_rs.spr	..\man\horse143_ht_rw.spr	..\man\horse143_ht_rr.spr	..\man\horse143_ht_ra01.spr	..\man\horse143_ht_ra02.spr	..\man\horse143_ht_rm.spr	..\man\horse143_ht_rb.spr	..\man\horse143_ht_rd.spr	..\man\horse143_ht_rs.spr	..\man\horse143_ht_rs.spr
HMao ress 50																																							..\man\horse144_ht_rs.spr	..\man\horse144_ht_rw.spr	..\man\horse144_ht_rr.spr	..\man\horse144_ht_ra01.spr	..\man\horse144_ht_ra02.spr	..\man\horse144_ht_rm.spr	..\man\horse144_ht_rb.spr	..\man\horse144_ht_rd.spr	..\man\horse144_ht_rs.spr	..\man\horse144_ht_rs.spr
