Status	ÎÄ¼şÃû	ÀàĞÍ	²¥·Å·½Ê½	Ö÷½ÇÉíºó¿ªÊ¼Ö¡	Ö÷½ÇÉíºó½áÊøÖ¡	¶¯»­×ÜÖ¡Êı	¶¯»­×Ü·½ÏòÊı	¶¯»­Ö¡¼ä¸ô	Í¼·Ö¼¸°ê	ËµÃ÷£ºÍ¼Ö»ÄÜ·Ö1¡¢2¡¢3°ê	x	x		
Status150	\spr\vongsangjxsolo\vong5.spr	Foot	Loop	0	0	20	1	80	1	ºÚÉ«¹â»·				13
Status151	\spr\skill\others\jianwangzhixia.spr	Foot	Loop	0	0	15	1	35	1	½£ÍøÖ®ÏÄ¸öÈË»îÔ¾¶È				
Status152	\spr\skill\others\xianfengguan.spr	Foot	Loop	0	0	10	1	20	1	ÏÈ·æ¹Ù¹â»·				
Status153	\spr\skill\others\bingmayuanshuai.spr	Foot	Loop	0	0	10	1	20	1	±øÂíÔªË§¹â»·				
Status154	\spr\skill\others\dachengxiang.spr	Foot	Loop	0	0	10	1	20	1	´óØ©Ïà¹â»·				
Status155	\spr\skill\others\huangdi.spr	Foot	Loop	0	0	10	1	50	1	»ÊµÛ¹â»·				
Status156	\spr\skill\others\tianzi.spr	Foot	Loop	0	0	10	1	56	1	Ìì×Ó¹â»·				
Status157	\spr\skill\others\chaoji_diyibang.spr	Foot	Loop	0	0	20	1	56	1	³¬¼¶µÚÒ»°ï				
Status158	\spr\skill\others\gaoji_diyibang.spr	Foot	Loop	0	0	20	1	56	1	¸ß¼¶µÚÒ»°ï				
Status159	\spr\skill\others\shengguanqindun.spr	Body	Loop	0	0	15	1	56	1	Ê¥¹âÇß¶Ü£¨Ğ§¹û£©				
Status160	\spr\skill\zhongqiu\zq_sl_003.spr	Head	Loop	0	0	20	1	60	1	ºìÔÂ	nhat ki			
Status161	\spr\skill\zhongqiu\lanyue.spr	Head	Loop	0	0	10	1	100	1	À¶ÔÂ	can khon			
Status162	\spr\skill\others\vip_sc.spr	Foot	Loop	0	0	20	1	80	1	ÖĞ¼¶VIP¹â»·				
Status163	\spr\skill\others\vip_sr.spr	Foot	Loop	0	0	20	1	80	1	¸ß¼¶VIP¹â»·				
Status164	\spr\skill\others\vip_sp.spr	Foot	Loop	0	0	20	1	80	1	³¬¼¶VIP¹â»·				
Status165	\spr\skill\others\dati.spr	Foot	Loop	0	0	20	1	56	1	´ğÌâ±ÈÈü¹â»·				
Status166	\spr\item\newyear2010\×í¾Æ.spr	Head	Loop	0	0	12	1	110	1	×í¾Æ				
Status167	\spr\skill\others\¸ñµ².spr	Head	Loop	0	0	20	1	56	1					
Status168	\spr\skill\others\ÖØ»÷.spr	Head	Loop	0	0	20	1	56	1					
Status169	\spr\skill\others\Ë²ÒÆ.spr	Head	Loop	0	0	50	1	56	1					
Status170	\spr\skill\others\zhongyueguanjun.spr	Body	Loop	0	0	30	1	56	1	ÖĞÔ½PKÈü¹Ú¾ü				
Status171	\spr\skill\others\jianmianhui_1st.spr	Foot	Loop	0	0	20	1	80	1	Ê×½ì½ğÉ½ÂÛ½£¹â»·				
Status172	\spr\skill\others\jianghugaoshou.spr	Foot	Loop	0	0	15	1	60	1	VIPÕÊºÅ¹â»·½­ºş¸ßÊÖ				
Status173	\spr\skill\others\wulinhaojie.spr	Foot	Loop	0	0	15	1	60	1	VIPÕÊºÅ¹â»·ÎäÁÖºÀ½Ü				
Status174	\spr\skill\others\jianxiazhizun.spr	Foot	Loop	0	0	15	1	60	1	VIPÕÊºÅ¹â»·½£ÏÀÖÁ×ğ				
Status175	\spr\skill\others\dubutianxia.spr	Foot	Loop	0	0	15	1	60	1	VIPÕÊºÅ¹â»·¶À²½ÌìÏÂ				
Status176	\spr\vongsangjxsolo\vong6.spr	Foot	Loop	0	0	20	1	80	1	ÎôÈÕ´óÏÀ»î¶¯				14
Status177	\spr\vongsangjxsolo\vong7.spr	Foot	Loop	0	0	20	1	80	1	¶À¹ÂÇó°Ü				15
Status178	\spr\vongsangjxsolo\vong8.spr	Foot	Loop	0	0	20	1	80	1	ÎäÁÖÖÁ×ğ				16
Status179	\spr\vongsangjxsolo\vong9.spr	Foot	Loop	0	0	20	1	80	1	Ò»´ú×ÚÊ¦				17
Status180	\spr\vongsangjxsolo\vong10.spr	Foot	Loop	0	0	20	1	80	1	¾øÊÀ¸ßÊÖ				18
Status181	\spr\vongsangjxsolo\vong11.spr	Foot	Loop	0	0	20	1	80	1	ÃûÂú½­ºş				19
Status182	\spr\vongsangjxsolo\vong12.spr	Foot	Loop	0	0	20	1	80	1	ÏÀÃûÔ¶²¥				20
Status183	\spr\vongsangjxsolo\vong13.spr	Foot	Loop	0	0	20	1	80	1	ÎäÁÖĞÂĞã				21
Status184	\spr\vongsangjxsolo\vong14.spr	Foot	Loop	0	0	20	1	80	1	³õÈë½­ºş				22
Status185	\spr\vongsangjxsolo\vong15.spr	Foot	Loop	0	0	20	1	80	1	ÈëÃÅµÜ×Ó				23
Status186	\spr\skill\others\longzhidui2.spr	Foot	Loop	0	0	15	1	83	1	2012ÁúÖ®¶Ó¹â»·				
Status187	\spr\skill\others\pkno1tong.spr	Foot	Loop	0	0	15	1	60	1	2012ÖĞÔ½µÚÒ»°ï				
Status188	spr\skill\ÃÅÅÉ½ø½×\½ğ.spr	Body	Loop	0	0	20	1	40	1	½ø½×boss½ğÏµ¹â»·				
Status189	spr\skill\ÃÅÅÉ½ø½×\Ä¾.spr	Body	Loop	0	0	20	1	40	1	½ø½×bossÄ¾Ïµ¹â»·				
Status190	spr\skill\ÃÅÅÉ½ø½×\Ë®.spr	Body	Loop	0	0	20	1	40	1	½ø½×bossË®Ïµ¹â»·				
Status191	spr\skill\ÃÅÅÉ½ø½×\»ğ.spr	Body	Loop	0	0	20	1	40	1	½ø½×boss»ğÏµ¹â»·				
Status192	spr\skill\ÃÅÅÉ½ø½×\ÍÁ.spr	Body	Loop	0	0	20	1	40	1	½ø½×bossÍÁÏµ¹â»·				
Status193	\spr\skill\others\jianghugaoshou.spr	Foot	Loop	0	0	15	1	60	1	Ô½ÄÏÁú»¢ËÎ½ğ¡°ÎäÑ§Ææ²Å¡±				
Status194	\spr\skill\others\wulinhaojie.spr	Foot	Loop	0	0	15	1	60	1	Ô½ÄÏÁú»¢ËÎ½ğ¡°ËÄ·½ÃûÉù¡±				
