µÈ¼¶	Éý¼¶ÐèÒª¾­Ñé	Éý¼¶¸½¼Ó¾­Ñé£¨Íò£©	1×ª¸½¼Ó¾­Ñé£¨Íò£©	2×ª¸½¼Ó¾­Ñé£¨Íò£©	3×ª¸½¼Ó¾­Ñé£¨Íò£©	4×ª¸½¼Ó¾­Ñé£¨Íò£©	5×ª¸½¼Ó¾­Ñé£¨Íò£©	6×ª¸½¼Ó¾­Ñé£¨Íò£©	7×ª¸½¼Ó¾­Ñé£¨Íò£©	8×ª¸½¼Ó¾­Ñé£¨Íò£©	9×ª¸½¼Ó¾­Ñé£¨Íò£©	10×ª¸½¼Ó¾­Ñé£¨Íò£©
156	31000000000		120000	360000	480000	1080000	1080000	1080000	1355000	3880000	3880000	5880000
157	32000000000		120000	360000	480000	1080000	1080000	1080000	1355000	3880000	3880000	5880000
158	33000000000		120000	360000	480000	1080000	1080000	1080000	1355000	3880000	3880000	5880000
159	34000000000		120000	360000	480000	1080000	1080000	1080000	1355000	3880000	3880000	5880000
160	35000000000		180000	540000	720000	1020000	1020000	1020000	1295000	5820000	5820000	7820000
161	36000000000		180000	540000	720000	1620000	1620000	1620000	1940000	5820000	5820000	7820000
162	37000000000		180000	540000	720000	1620000	1620000	1620000	1940000	5820000	5820000	7820000
163	38000000000		180000	540000	720000	1620000	1620000	1620000	1940000	5820000	5820000	7820000
164	39000000000		180000	540000	720000	1620000	1620000	1620000	1940000	5820000	5820000	7820000
165	40000000000		200000	600000	800000	1600000	1600000	1600000	1940000	7800000	7800000	9800000
166	41000000000		200000	600000	800000	1800000	1800000	1800000	2980000	7800000	7800000	9800000
167	42000000000		200000	600000	800000	1800000	1800000	1800000	2980000	7800000	7800000	9800000
168	43000000000		200000	600000	800000	1800000	1800000	1800000	2980000	7800000	7800000	9800000
169	44000000000		200000	600000	800000	1800000	2800000	2800000	3980000	7800000	7800000	9800000
170	45000000000		200000	600000	800000	1800000	2800000	2800000	3980000	9800000	9800000	14800000
171	46000000000		200000	600000	800000	1800000	2800000	2800000	4980000	9800000	9800000	14800000
172	47000000000		200000	600000	800000	1800000	2800000	2800000	4980000	9800000	9800000	14800000
173	48000000000		200000	600000	800000	1800000	2800000	2800000	4980000	9800000	9800000	14800000
174	49000000000		200000	600000	800000	1800000	2800000	2800000	4980000	9800000	9800000	14800000
175	50000000000		200000	600000	800000	1800000	2800000	2800000	4980000	14800000	14800000	19800000
176	51000000000		200000	600000	800000	1800000	2800000	2800000	6200000	14800000	14800000	19800000
177	52000000000		200000	600000	800000	1800000	2800000	2800000	6200000	14800000	14800000	19800000
178	53000000000		200000	600000	800000	1800000	2800000	2800000	6200000	14800000	14800000	19800000
179	54000000000		200000	600000	800000	1800000	2800000	2800000	6200000	14800000	14800000	19800000
180	55000000000		200000	600000	800000	1800000	2800000	2800000	6200000	19800000	19800000	24800000
181	56000000000		200000	600000	800000	1800000	2800000	2800000	8200000	19800000	19800000	24800000
182	57000000000		200000	600000	800000	1800000	2800000	2800000	8200000	19800000	19800000	24800000
183	58000000000		200000	600000	800000	1800000	2800000	2800000	8200000	19800000	19800000	24800000
184	59000000000		200000	600000	800000	1800000	2800000	2800000	8200000	19800000	19800000	24800000
185	60000000000		200000	600000	800000	1800000	2800000	2800000	8200000	24800000	24800000	29800000
186	61000000000		200000	600000	800000	1800000	2800000	2800000	10200000	24800000	24800000	29800000
187	62000000000		200000	600000	800000	1800000	2800000	2800000	10200000	24800000	24800000	29800000
188	63000000000		200000	600000	800000	1800000	2800000	2800000	10200000	24800000	24800000	29800000
189	64000000000		200000	600000	800000	1800000	2800000	2800000	10200000	24800000	24800000	29800000
190	65000000000		200000	600000	800000	1800000	2800000	2800000	10200000	29800000	29800000	34800000
191	66000000000		200000	600000	800000	1800000	2800000	2800000	19800000	29800000	29800000	34800000
192	67000000000		200000	600000	800000	1800000	2800000	2800000	19800000	29800000	29800000	34800000
193	68000000000		200000	600000	800000	1800000	2800000	2800000	19800000	29800000	29800000	49800000
194	69000000000		200000	600000	800000	1800000	2800000	2800000	19800000	29800000	29800000	49800000
195	70000000000		200000	600000	800000	1800000	2800000	2800000	19800000	39800000	39800000	64800000
196	71000000000		200000	600000	800000	1800000	2800000	2800000	39800000	39800000	39800000	64800000
197	72000000000		200000	600000	800000	1800000	2800000	2800000	39800000	39800000	39800000	64800000
198	73000000000		200000	600000	800000	1800000	2800000	2800000	39800000	39800000	39800000	79800000
199	74000000000		800000	1800000	1800000	1800000	5800000	39800000	39800000	39800000	39800000	79800000
200	75000000000		800000	1800000	1800000	3800000	5800000	39800000	39800000	39800000	39800000	79800000
